status	validation_status	validation_notes	json_file	pdf_path	reference_index	reference_type	reference_text	suggest_author	suggest_title	suggest_journal	suggest_container_title	suggest_volume	suggest_issue	suggest_pages	suggest_date	suggest_publisher	final_author	final_title	final_journal	final_container_title	final_volume	final_issue	final_pages	final_date	final_publisher	reviewer_notes
approved	valid	missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	11	other	Brazil, M. (2024). Foreign Intelligence Hackers and Their Place in the PRC Intelligence Community.	Brazil, M.	Foreign Intelligence Hackers and Their Place in the PRC Intelligence Community						2024		Brazil, M.	Foreign Intelligence Hackers and Their Place in the PRC Intelligence Community						(2024).	Unknown Source	
approved	valid	missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	12	other	Broeders, D., L. Adamson and R. Creemers (2019). Coalition of the Unwilling? Chinese and Russian Perspectives on Cyberspace.	Broeders, D.; Adamson, L.; Creemers, R.	Coalition of the Unwilling? Chinese and Russian Perspectives on Cyberspace						2019		Broeders, D.; Adamson, L.; Creemers, R.	Coalition of the Unwilling? Chinese and Russian Perspectives on Cyberspace						(2019).	Unknown Source	
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	13	other	Buchan, R. and I. Navarrete (2021). Cyber espionage and international law'. Research Handbook on International Law and Cyberspace, Edward Elgar Publishing: 231-252.	Buchan, R.; Navarrete, I.	Cyber espionage and international law'		Research Handbook on International Law and Cyberspace, Edward Elgar Publishing			231–252	2021											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	14	book	Buchanan, B. (2020). Strategic Espionage. The Hacker and the State, Harvard University Press: 86-107.	Buchanan, B.	Strategic Espionage. The Hacker and the State					86–107	2020	Harvard University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	15	other	"Cardon, E. (2022). ""Fighting Alone is called Losing: The Unlearned Lessons of Fragmented Systems'."" The Cyber Defense Review 7(1): 75-82."	Cardon, E.	Fighting Alone is called Losing: The Unlearned Lessons of Fragmented Systems'		The Cyber Defense Review	7	1	75–82	2022											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	16	chapter/conf	"Carr, M. (2016). ""Public-private partnerships in national cyber-security strategies'."" International Affairs (Royal Institute of International Affairs 92(1): 43-62."	Carr, M.	Public-private partnerships in national cyber-security strategies'		International Affairs (Royal Institute of International Affairs	92	1	43–62	2016											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	17	other	"Cha, V. D. (2023). ""Collective Resilience: Deterring China's Weaponization of Economic Interdependence."" International Security 48(1): 91-124."	Cha, V.D.	Collective Resilience: Deterring China's Weaponization of Economic Interdependence		International Security	48	1	91–124	2023											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	18	other	"Chen, L. S. and M. M. Evers (2023). ""Wars without Gun Smoke': Global Supply Chains, Power Transitions, and Economic Statecraft"". International Security 48(2): 164-204."	Chen, L.S.; Evers, M.M.	"Wars without Gun Smoke': Global Supply Chains, Power Transitions, and Economic Statecraft"""		International Security	48	2	164–204	2023											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	19	other	Clark, D. D. (2010). Characterizing cyberspace: Past, present and future. Working Paper, Massachusetts Institute of Technology.	Clark, D.D.	Characterizing cyberspace: Past, present and future						2010	Massachusetts Institute of Technology										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	20	other	"Cohen, J. E. (2007). ""Cyberspace as/and Space'."" *Columbia Law Review* 107: 210."	Cohen, J.E.	Cyberspace as/and Space'		*Columbia Law Review*	107		210	2007											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	21	chapter/conf	"Cunningham, F. S. (2022). ""Strategic Substitution: China's Search for Coercive Leverage in the Information Age'."" International Security 47(1): 46-92."	Cunningham, F.S.	Strategic Substitution: China's Search for Coercive Leverage in the Information Age'		International Security	47	1	46–92	2022											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	22	book	Curtis, S. and I. Klaus (2024). The Belt and Road City: Geopolitics, Urbanization, and China's Search for a New International Order, Yale University Press.	Curtis, S.; Klaus, I.	The Belt and Road City: Geopolitics, Urbanization, and China's Search for a New International Order						2024	Yale University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	23	other	"Damm, J. (2007). ""The Internet and the Fragmentation of Chinese Society'."" Critical Asian Studies 39(2): 273-294."	Damm, J.	The Internet and the Fragmentation of Chinese Society'		Critical Asian Studies	39	2	273–294	2007											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	24	other	"Deibert, R. and R. Rohozinski (2010). ""Liberation vs. Control: The Future of Cyberspace"". *Journal of Democracy* 21(4): 43-57."	Deibert, R.; Rohozinski, R.	Liberation vs		"Control: The Future of Cyberspace"". *Journal of Democracy*"	21	4	43–57	2010											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	25	book	Drezner, D. W. (1999). *'The Sanctions Paradox'*. Cambridge University Press.	Drezner, D.W.	*'The Sanctions Paradox'*						1999	Cambridge University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	26	book	Farrell, H. and A. L. Newman (2019). *Of Privacy and Power: The Transatlantic Struggle over Freedom and Security*. *Of Privacy and Power*, Princeton University Press.	Farrell, H.; Newman, A.L.	*Of Privacy and Power: The Transatlantic Struggle over Freedom and Security*						2019	*Of Privacy and Power*, Princeton University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	27	other	"Farrell, H. and A. L. Newman (2019). ""Weaponized Interdependence: How Global Economic Networks Shape State Coercion."" *International Security* 44(1): 42-79."	Farrell, H.; Newman, A.L.	Weaponized Interdependence: How Global Economic Networks Shape State Coercion		*International Security*	44	1	42–79	2019											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	28	chapter/conf	"Fick, N. (2022). ""Confronting Reality in Cyberspace: Foreign Policy for a Fragmented Internet."" *Council on Foreign Relations*."	Fick, N.	Confronting Reality in Cyberspace: Foreign Policy for a Fragmented Internet		*Council on Foreign Relations*				2022											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	29	chapter/conf	"Forsyth, J. W. and B. E. Pope (2014). ""Structural Causes and Cyber Effects: Why International Order is Inevitable in Cyberspace"". *Strategic Studies Quarterly* 8(4): 112-128."	Forsyth, J.W.; Pope, B.E.	"Structural Causes and Cyber Effects: Why International Order is Inevitable in Cyberspace"""		*Strategic Studies Quarterly*	8	4	112–128	2014											
approved	valid	missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	30	other	Fujino, I. (2024). Huawei breaks free from Google ecosystem with homegrown OS, Nikkei Asia.	Fujino, I.	Huawei breaks free from Google ecosystem with homegrown OS						2024		Fujino, I.	Huawei breaks free from Google ecosystem with homegrown OS						(2024).	Nikkei Asia.	
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	31	chapter/conf	"Gartzke, E. and J. R. Lindsay (2015). ""Weaving Tangled Webs: Offense, Defense, and Deception in Cyberspace"". *Security Studies* 24(2): 316-348."	Gartzke, E.; Lindsay, J.R.	"Weaving Tangled Webs: Offense, Defense, and Deception in Cyberspace"""		*Security Studies*	24	2	316–348	2015											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	32	book	Gilpin, R. and J. M. Gilpin (1987). *The Political Economy of International Relations*, Princeton University Press.	Gilpin, R.; Gilpin, J.M.	*The Political Economy of International Relations*						1987	Princeton University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	33	chapter/conf	Gioe, D. V. and M. W. Smith (2024). *Great Power Cyber Competition: Competing and Winning in the Information Environment*, Taylor &amp; Francis.	Gioe, D.V.; Smith, M.W.	*Great Power Cyber Competition: Competing and Winning in the Information Environment*						2024	Taylor &amp; Francis										
approved	valid	missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	34	other	Group, I. (2023). *Charting China's Climb as a Leading Global Cyber Power'*.	Group, I.	*Charting China's Climb as a Leading Global Cyber Power'*						2023		Group, I.	Charting China's Climb as a Leading Global Cyber Power						(2023).	Unknown Source	
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	35	other	Grzegorzewski, M. and C. Marsh (2024). *A Strategic Cyberspace Overview: Russia and China'*. *Great Power Cyber Competition*, Routledge.	Grzegorzewski, M.; Marsh, C.	*A Strategic Cyberspace Overview: Russia and China'*						2024	*Great Power Cyber Competition*, Routledge										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	36	chapter/conf	"Harnisch, S. and K. Zettl-Schabath (2023). ""Secrecy and Norm Emergence in Cyber-Space. The US, China and Russia Interaction and the Governance of Cyber-Espionage"". *Democracy and Security* 19(1): 82-110."	Harnisch, S.; Zettl-Schabath, K.	"Secrecy and Norm Emergence in Cyber-Space. The US, China and Russia Interaction and the Governance of Cyber-Espionage"""		*Democracy and Security*	19	1	82–110	2023											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	37	other	"Hofmann, S. C. and P. Pawlak (2023). ""Governing cyberspace: policy boundary politics across organizations'."" Review of International Political Economy 30(6): 2122-2149."	Hofmann, S.C.; Pawlak, P.	Governing cyberspace: policy boundary politics across organizations'		Review of International Political Economy	30	6	2122–2149	2023											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	38	chapter/conf	"Holland, J. and E. Staunton (2024). ""'BrOthers in Arms': France, the Anglosphere and AUKUS'."" International Affairs 100(2): 712-729."	Holland, J.; Staunton, E.	'BrOthers in Arms': France, the Anglosphere and AUKUS'		International Affairs	100	2	712–729	2024											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	39	book	Huang, Y. (2023). China's Asymmetric Statecraft: Alignments, Competitors, and Regional Diplomacy, UBC Press.	Huang, Y.	China's Asymmetric Statecraft: Alignments, Competitors, and Regional Diplomacy						2023	UBC Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	40	chapter/conf	"Inkster, N. (2022). ""Power Versus Pragmatism: Unlearned Lessons in Dealing with China'."" The Cyber Defense Review 7(1): 41-50."	Inkster, N.	Power Versus Pragmatism: Unlearned Lessons in Dealing with China'		The Cyber Defense Review	7	1	41–50	2022											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	41	other	"Jensen, B. (2017). ""The Cyber Character of Political Warfare'."" The Brown Journal of World Affairs 24(1): 159-172."	Jensen, B.	The Cyber Character of Political Warfare'		The Brown Journal of World Affairs	24	1	159–172	2017											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	42	book	Jiang, Y. (2012). Cyber-Nationalism in China. Challenging Western media portrayals of internet censorship in China, University of Adelaide Press.	Jiang, Y.	Cyber-Nationalism in China. Challenging Western media portrayals of internet censorship in China						2012	University of Adelaide Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	43	other	"Kello, L. (2013). ""The Meaning of the Cyber Revolution: Perils to Theory and Statecraft'."" International Security 38(2): 7-40."	Kello, L.	The Meaning of the Cyber Revolution: Perils to Theory and Statecraft'		International Security	38	2	7–40	2013											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	44	other	"Keohane, R. O. and J. S. Nye (1973). ""Power and interdependence."" Survival 15(4): 158-165."	Keohane, R.O.; Nye, J.S.	Power and interdependence		Survival	15	4	158–165	1973											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	45	other	Knorr, K. (1973). Power and Wealth. London, Palgrave Macmillan UK.	Knorr, K.	Power and Wealth						1973	Palgrave Macmillan UK										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	46	other	"Korczynski, M. (2000). ""The Political Economy of Trust'."" Journal of Management Studies 37(1)."	Korczynski, M.	The Political Economy of Trust'		Journal of Management Studies	37	1		2000											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	47	book	Kuehl, D. T. (2011). From Cyberspace to Cyberpower: Defining the Problem. Cyberpower and National Security. F. D. Kramer, S. H. Starr and L. K. Wentz, University of Nebraska Press.	Kuehl, D.T.	From Cyberspace to Cyberpower: Defining the Problem. Cyberpower and National Security						2011	Wentz, University of Nebraska Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	48	book	Kydd, A. H. (2018). Trust and Mistrust in International Relations, Princeton University Press.	Kydd, A.H.	Trust and Mistrust in International Relations						2018	Princeton University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	49	other	"Lambach, D. (2020). ""The Territorialization of Cyberspace*."" International Studies Review 22(3): 482-506."	Lambach, D.	The Territorialization of Cyberspace*		International Studies Review	22	3	482–506	2020											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	50	other	"Lemay, A. (2018). ""Survey of publicly available reports on advanced persistent threat actors'."" Computers &amp; Security 72: 26-59."	Lemay, A.	Survey of publicly available reports on advanced persistent threat actors'		Computers &amp; Security	72		26–59	2018											
approved	valid	missing_container_or_publisher	/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	51	chapter/conf	Leonard, T. G. A., I. Krastev and Mark (2023). Living in an à la carte world: What European policymakers should learn from global public opinion, ECFR.	Leonard, T.G.A.; Krastev, I.; Mark	Living in an à la carte world: What European policymakers should learn from global public opinion, ECFR						2023		Leonard, T.G.A.; Krastev, I.; Mark	Living in an à la carte world: What European policymakers should learn from global public opinion, ECFR						(2023).	ECFR.	
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	52	other	"Lessig, L. (1996). ""The Zones of Cyberspace"". *Stanford Law Review* 48(5): 1403-1411."	Lessig, L.	"The Zones of Cyberspace"""		*Stanford Law Review*	48	5	1403–1411	1996											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	53	other	"Levi, M. and L. Stoker (2000). ""Political Trust and Trustworthiness"". *Annual Review of Political Science* 3: 475-507."	Levi, M.; Stoker, L.	"Political Trust and Trustworthiness"""		*Annual Review of Political Science*	3		475–507	2000											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	54	chapter/conf	Lindsay, J. and E. Gartzke (2016). Coercion through Cyberspace: The Stability-Instability Paradox Revisited'. *The Power to Hurt: Coercion in Theory and in Practice*. Forthcoming, Oxford University Press.	Lindsay, J.; Gartzke, E.	Coercion through Cyberspace: The Stability-Instability Paradox Revisited'		*The Power to Hurt: Coercion in Theory and in Practice*. Forthcoming				2016	Oxford University Press										
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	55	other	"Lindsay, J. R. (2017). ""Restrained by design: the political economy of cybersecurity"". *Digital Policy, Regulation and Governance* 19(6): 493-514."	Lindsay, J.R.	"Restrained by design: the political economy of cybersecurity"""		*Digital Policy, Regulation and Governance*	19	6	493–514	2017											
approved	valid		/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json	C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf	56	other	"Lonergan, E. D. (2024). ""Emerging technology and the cult of the offensive"". *Contemporary Security Policy* 45(3): 459-493."	Lonergan, E.D.	"Emerging technology and the cult of the offensive"""		*Contemporary Security Policy*	45	3	459–493	2024											
